CD_LOC;UF;abstencoes;aptos;comparecimentos;validos
SP00416;SP;393;1565;1172;1044
SP00417;SP;334;1590;1256;1153
SP00418;SP;372;1339;967;854
SP00419;SP;1477;4961;3484;3249
SP00420;SP;416;1442;1026;968
SP00421;SP;867;3048;2181;2036
SP00422;SP;2725;10320;7595;7125
SP00423;SP;1355;4513;3158;2954
SP00424;SP;1374;4823;3449;3189
SP00425;SP;1674;6519;4845;4576
SP00426;SP;1966;6948;4982;4659
SP00427;SP;1191;4605;3414;3208
SP00428;SP;1699;5397;3698;3482
SP00429;SP;1519;5111;3592;3374
SP00430;SP;2158;8129;5971;5673
SP00431;SP;1295;4417;3122;2899
SP00432;SP;1210;3964;2754;2526
SP00433;SP;1142;4353;3211;3018
SP00434;SP;1576;5194;3618;3310
SP00435;SP;1757;7037;5280;4887
SP00436;SP;878;2845;1967;1786
SP00437;SP;1343;4783;3440;3177
SP00438;SP;930;3263;2333;2118
SP00439;SP;995;3746;2751;2521
SP00440;SP;1207;4147;2940;2666
SP00441;SP;1406;4817;3411;3092
SP00442;SP;720;3055;2335;2172
SP00443;SP;1422;5342;3920;3682
SP00444;SP;1007;4038;3031;2821
SP00445;SP;461;2263;1802;1650
SP00446;SP;1547;7010;5463;5115
SP00447;SP;939;4015;3076;2828
SP00448;SP;514;2058;1544;1442
SP00449;SP;1495;6333;4838;4543
SP00450;SP;1055;4825;3770;3580
SP00451;SP;422;1835;1413;1321
SP00452;SP;806;3018;2212;2062
SP00453;SP;348;1256;908;812
SP00454;SP;1915;6000;4085;3686
SP00455;SP;1209;4145;2936;2760
SP00456;SP;1225;4320;3095;2847
SP00457;SP;876;2816;1940;1788
SP00458;SP;2559;8529;5970;5467
SP00459;SP;1204;4392;3188;2898
SP00460;SP;1795;6386;4591;4172
SP00461;SP;1143;4042;2899;2597
SP00462;SP;1518;5168;3650;3260
SP00463;SP;366;1010;644;588
SP00464;SP;1104;4296;3192;2788
SP00465;SP;2123;7597;5474;4914
SP00466;SP;1649;6038;4389;3941
SP00467;SP;1476;5303;3827;3456
SP00468;SP;1476;5330;3854;3532
SP00469;SP;1594;5448;3854;3537
SP00470;SP;1427;4692;3265;3015
SP00471;SP;1018;3265;2247;2066
SP00472;SP;701;2507;1806;1635
SP00473;SP;1481;5477;3996;3679
SP00474;SP;1532;5075;3543;3281
SP00475;SP;1730;5821;4091;3761
SP00476;SP;1664;5975;4311;3973
SP00477;SP;860;2863;2003;1826
SP00478;SP;1001;3496;2495;2279
SP00479;SP;691;2742;2051;1879
SP00480;SP;523;1874;1351;1233
SP00481;SP;384;1516;1132;1030
SP00482;SP;1768;6633;4865;4487
SP00483;SP;656;2523;1867;1700
SP00484;SP;828;3212;2384;2210
SP00485;SP;395;1466;1071;1005
SP00486;SP;1108;4286;3178;2834
SP00487;SP;521;2063;1542;1356
SP00488;SP;418;1859;1441;1316
SP00489;SP;299;1525;1226;1114
SP00490;SP;653;1981;1328;1190
SP00491;SP;221;985;764;713
SP00492;SP;176;847;671;610
SP00493;SP;310;1172;862;776
SP00494;SP;22;54;32;29
SP00495;SP;14;54;40;37
SP00496;SP;1207;4579;3372;3164
SP00497;SP;1990;6925;4935;4614
SP00498;SP;947;3111;2164;1973
SP00499;SP;1930;6834;4904;4505
SP00500;SP;1850;6586;4736;4227
SP00501;SP;1436;4776;3340;3012
SP00502;SP;1898;6808;4910;4479
SP00503;SP;1985;6619;4634;4261
SP00504;SP;963;4008;3045;2772
SP00505;SP;653;2185;1532;1412
SP00506;SP;1254;4319;3065;2767
SP00507;SP;2618;9953;7335;6671
SP00508;SP;1490;5317;3827;3455
SP00509;SP;1394;4399;3005;2720
SP00510;SP;1880;6209;4329;3841
SP00511;SP;2064;6942;4878;4337
SP00512;SP;2226;7389;5163;4594
SP00513;SP;1113;4106;2993;2725
SP00514;SP;1524;5514;3990;3648
SP00515;SP;1248;4792;3544;3225
SP00516;SP;2061;6938;4877;4364
SP00517;SP;1044;3694;2650;2378
SP00518;SP;1477;4780;3303;3021
SP00519;SP;1725;5846;4121;3726
SP00520;SP;880;3065;2185;1962
SP00521;SP;1512;5002;3490;3052
SP00522;SP;1176;4695;3519;3108
SP00523;SP;1061;4290;3229;2820
SP00524;SP;715;2811;2096;1907
SP00525;SP;1400;5945;4545;4073
SP00526;SP;817;3210;2393;2124
SP00527;SP;630;3105;2475;2265
SP00528;SP;589;2366;1777;1669
SP00529;SP;786;3155;2369;2189
SP00530;SP;357;1521;1164;1056
SP00531;SP;1705;6972;5267;4741
SP00532;SP;735;2674;1939;1774
SP00533;SP;557;2644;2087;1916
SP00534;SP;942;4351;3409;3196
SP00535;SP;1569;4936;3367;3157
SP00536;SP;1749;6329;4580;4200
SP00537;SP;1313;4344;3031;2817
SP00538;SP;1666;5278;3612;3264
SP00539;SP;1836;5948;4112;3885
SP00540;SP;1083;3175;2092;1924
SP00541;SP;1083;3175;2092;1924
SP00542;SP;1451;4842;3391;3009
SP00543;SP;2618;8077;5459;4828
SP00544;SP;1829;5536;3707;3426
SP00545;SP;2233;7097;4864;4426
SP00546;SP;1495;4580;3085;2734
SP00547;SP;916;3238;2322;2126
SP00548;SP;1450;4404;2954;2736
SP00549;SP;1918;5928;4010;3711
SP00550;SP;1329;4742;3413;3090
SP00551;SP;1327;4597;3270;2992
SP00552;SP;1909;5887;3978;3593
SP00553;SP;1552;4676;3124;2777
SP00554;SP;1397;5499;4102;3539
SP00555;SP;978;3492;2514;2217
SP00556;SP;469;1967;1498;1364
SP00557;SP;1586;5966;4380;3869
SP00558;SP;1433;5547;4114;3583
SP00559;SP;1748;6869;5121;4487
SP00560;SP;1312;4755;3443;3032
SP00561;SP;1212;4720;3508;3096
SP00562;SP;817;3269;2452;2249
SP00563;SP;1024;3945;2921;2552
SP00564;SP;1630;6019;4389;3798
SP00565;SP;792;3148;2356;2159
SP00566;SP;972;3965;2993;2667
SP00567;SP;1099;3964;2865;2677
SP00568;SP;1167;4355;3188;3011
SP00569;SP;640;2316;1676;1494
SP00570;SP;371;1547;1176;1032
SP00571;SP;496;1966;1470;1274
SP00572;SP;1425;5117;3692;3220
SP00573;SP;300;1187;887;778
SP00574;SP;1552;4916;3364;2915
SP00575;SP;606;1945;1339;1156
SP00576;SP;0;45;45;43
SP00577;SP;2573;8415;5842;5470
SP00578;SP;711;2949;2238;2075
SP00579;SP;1251;4397;3146;2800
SP00580;SP;880;3133;2253;2085
SP00581;SP;1534;5307;3773;3511
SP00582;SP;1178;4259;3081;2839
SP00583;SP;1316;4985;3669;3376
SP00584;SP;760;2542;1782;1595
SP00585;SP;1428;4746;3318;3055
SP00586;SP;639;2592;1953;1811
SP00587;SP;1111;3697;2586;2443
SP00588;SP;1646;5167;3521;3249
SP00589;SP;1403;4702;3299;2945
SP00590;SP;2299;7580;5281;4767
SP00591;SP;1863;6263;4400;3968
SP00592;SP;1502;5506;4004;3604
SP00593;SP;1462;5605;4143;3747
SP00594;SP;974;3522;2548;2252
SP00595;SP;971;3557;2586;2360
SP00596;SP;938;3534;2596;2315
SP00597;SP;1503;5301;3798;3363
SP00598;SP;1411;4844;3433;3099
SP00599;SP;1909;6251;4342;3850
SP00600;SP;1116;4185;3069;2750
SP00601;SP;1747;6122;4375;4024
SP00602;SP;1002;3850;2848;2612
SP00603;SP;1499;4959;3460;3080
SP00604;SP;943;3537;2594;2282
SP00605;SP;941;4399;3458;3192
SP00606;SP;520;2414;1894;1733
SP00607;SP;605;2771;2166;1946
SP00608;SP;823;3524;2701;2432
SP00609;SP;468;2139;1671;1494
SP00610;SP;1119;4996;3877;3624
SP00611;SP;403;1902;1499;1356
SP00612;SP;624;2164;1540;1406
SP00613;SP;270;1184;914;823
SP00614;SP;1575;6485;4910;4418
SP00615;SP;219;1062;843;746
SP00616;SP;883;3937;3054;2837
SP00617;SP;393;1349;956;883
SP00618;SP;1727;5671;3944;3552
SP00619;SP;465;1692;1227;1122
SP00620;SP;33;98;65;59
SP00621;SP;2410;7468;5058;4865
SP00622;SP;2632;8525;5893;5639
SP00623;SP;1794;5777;3983;3816
SP00624;SP;2013;6339;4326;4147
SP00625;SP;3154;10784;7630;7349
SP00626;SP;1952;6265;4313;4163
SP00627;SP;2327;7090;4763;4533
SP00628;SP;2215;7913;5698;5552
SP00629;SP;1253;3705;2452;2303
SP00630;SP;1740;5514;3774;3628
SP00631;SP;951;2522;1571;1459
SP00632;SP;2717;9851;7134;6837
SP00633;SP;1159;3955;2796;2708
SP00634;SP;2134;6679;4545;4327
SP00635;SP;1863;5917;4054;3789
SP00636;SP;2262;7155;4893;4683
SP00637;SP;2102;5885;3783;3611
SP00638;SP;2164;6804;4640;4408
SP00639;SP;2755;9027;6272;5998
SP00640;SP;1973;6187;4214;4002
SP00641;SP;2280;6983;4703;4445
SP00642;SP;1296;5042;3746;3522
SP00643;SP;895;3354;2459;2299
SP00644;SP;1585;5516;3931;3760
SP00645;SP;1162;3823;2661;2508
SP00646;SP;950;3531;2581;2445
SP00647;SP;2320;7403;5083;4892
SP00648;SP;964;3841;2877;2733
SP00649;SP;666;2648;1982;1879
SP00650;SP;1154;4689;3535;3393
SP00651;SP;1581;4603;3022;2809
SP00652;SP;1355;4711;3356;3082
SP00653;SP;2887;9758;6871;6586
SP00654;SP;1670;5621;3951;3772
SP00655;SP;1226;4274;3048;2913
SP00656;SP;2117;7540;5423;5139
SP00657;SP;1929;6658;4729;4461
SP00658;SP;1344;4399;3055;2912
SP00659;SP;1223;4066;2843;2695
SP00660;SP;535;1900;1365;1306
SP00661;SP;1203;3498;2295;2116
SP00662;SP;1275;4467;3192;3050
SP00663;SP;1509;4883;3374;3199
SP00664;SP;1238;4189;2951;2798
SP00665;SP;1454;4690;3236;3048
SP00666;SP;1560;4794;3234;3039
SP00667;SP;1994;7365;5371;5034
SP00668;SP;1578;5384;3806;3593
SP00669;SP;1217;4307;3090;2935
SP00670;SP;1547;5766;4219;3993
SP00671;SP;2383;7344;4961;4615
SP00672;SP;1545;5404;3859;3618
SP00673;SP;1015;3585;2570;2428
SP00674;SP;814;3396;2582;2338
SP00675;SP;465;2186;1721;1640
SP00676;SP;914;3751;2837;2653
SP00677;SP;418;1922;1504;1420
