CD_LOC;UF;abstencoes;aptos;comparecimentos;validos
SP00179;SP;847;3023;2176;1776
SP00180;SP;723;2715;1992;1618
SP00181;SP;365;1188;823;662
SP00182;SP;222;780;558;444
SP00183;SP;436;1181;745;604
SP00184;SP;211;781;570;453
SP00185;SP;215;785;570;463
SP00186;SP;330;1134;804;667
SP00187;SP;237;792;555;428
SP00188;SP;1111;4302;3191;2652
SP00189;SP;1884;5717;3833;3381
SP00190;SP;2976;9191;6215;5565
SP00191;SP;1507;4893;3386;3120
SP00192;SP;1059;3326;2267;2028
SP00193;SP;1442;4453;3011;2715
SP00194;SP;2347;8615;6268;5780
SP00195;SP;1217;3523;2306;2013
SP00196;SP;923;3423;2500;2236
SP00197;SP;1489;4829;3340;3099
SP00198;SP;2789;9846;7057;6333
SP00199;SP;2654;9351;6697;6031
SP00200;SP;1339;4987;3648;3251
SP00201;SP;2887;9459;6572;5989
SP00202;SP;2504;7973;5469;5015
SP00203;SP;2168;7005;4837;4332
SP00204;SP;1040;4526;3486;3183
SP00205;SP;859;3126;2267;2107
SP00206;SP;797;3004;2207;2000
SP00207;SP;1099;4643;3544;3043
SP00208;SP;501;1780;1279;1147
SP00209;SP;1075;4117;3042;2774
SP00210;SP;559;2712;2153;1857
SP00211;SP;1706;6388;4682;4168
SP00212;SP;1462;5586;4124;3719
SP00213;SP;1278;4732;3454;3107
SP00214;SP;1482;5779;4297;3759
SP00215;SP;232;993;761;665
SP00216;SP;478;2036;1558;1384
SP00217;SP;322;1566;1244;1121
SP00218;SP;1008;3583;2575;2277
SP00219;SP;1607;5453;3846;3316
SP00220;SP;665;2119;1454;1292
SP00221;SP;975;3925;2950;2531
SP00222;SP;1593;5627;4034;3525
SP00223;SP;757;2666;1909;1662
SP00224;SP;1387;4682;3295;2841
SP00225;SP;1377;4793;3416;2882
SP00226;SP;1823;6504;4681;3905
SP00227;SP;1432;5078;3646;3077
SP00228;SP;1093;3772;2679;2265
SP00229;SP;1646;6362;4716;4007
SP00230;SP;1303;4442;3139;2668
SP00231;SP;992;4477;3485;2989
SP00232;SP;1658;6760;5102;4371
SP00233;SP;662;2180;1518;1306
SP00234;SP;294;1126;832;718
SP00235;SP;1626;6359;4733;4005
SP00236;SP;1082;4570;3488;2996
SP00237;SP;1175;4589;3414;2908
SP00238;SP;1341;6012;4671;3951
SP00239;SP;1353;5869;4516;3700
SP00240;SP;802;3251;2449;2056
SP00241;SP;885;3798;2913;2413
SP00242;SP;1014;4031;3017;2461
SP00243;SP;1182;3895;2713;2275
SP00244;SP;388;1594;1206;978
SP00245;SP;402;1860;1458;1167
SP00246;SP;152;730;578;471
SP00247;SP;683;3039;2356;1915
SP00248;SP;800;2993;2193;1833
SP00249;SP;996;3623;2627;2284
SP00250;SP;898;4023;3125;2566
SP00251;SP;998;3854;2856;2435
SP00252;SP;1210;4288;3078;2638
SP00253;SP;1512;6617;5105;4218
SP00254;SP;1222;4716;3494;2936
SP00255;SP;1734;6778;5044;4293
SP00256;SP;971;4254;3283;2674
SP00257;SP;1475;5556;4081;3166
SP00258;SP;716;2237;1521;1192
SP00259;SP;404;1803;1399;1139
SP00260;SP;2081;6967;4886;4112
SP00261;SP;1744;5727;3983;3376
SP00262;SP;1953;6791;4838;4128
SP00263;SP;2712;10873;8161;7067
SP00264;SP;1849;6606;4757;3973
SP00265;SP;1459;5313;3854;3315
SP00266;SP;1861;6960;5099;4318
SP00267;SP;1780;6197;4417;3682
SP00268;SP;1915;6330;4415;3742
SP00269;SP;1250;4567;3317;2813
SP00270;SP;1617;6129;4512;3803
SP00271;SP;1827;6516;4689;3929
SP00272;SP;740;3513;2773;2324
SP00273;SP;1225;5615;4390;3670
SP00274;SP;1056;5083;4027;3417
SP00275;SP;964;4248;3284;2804
SP00276;SP;965;4234;3269;2704
SP00277;SP;1055;4274;3219;2691
SP00278;SP;990;3874;2884;2434
SP00279;SP;1002;3855;2853;2307
SP00280;SP;1638;6493;4855;3966
SP00281;SP;1462;5656;4194;3612
SP00282;SP;1622;6521;4899;4004
SP00283;SP;1055;4282;3227;2653
SP00284;SP;1147;4514;3367;2775
SP00285;SP;563;2333;1770;1490
SP00286;SP;1546;6009;4463;3798
SP00287;SP;448;1938;1490;1274
SP00288;SP;605;2503;1898;1542
SP00289;SP;864;3751;2887;2359
SP00290;SP;488;2127;1639;1389
SP00291;SP;12;43;31;27
SP00292;SP;1238;3524;2286;2056
SP00293;SP;889;2607;1718;1522
SP00294;SP;1498;5157;3659;3309
SP00295;SP;1607;4636;3029;2673
SP00296;SP;804;2387;1583;1433
SP00297;SP;365;1311;946;845
SP00298;SP;1357;4475;3118;2813
SP00299;SP;614;2182;1568;1389
SP00300;SP;1324;5119;3795;3340
SP00301;SP;879;3036;2157;1924
SP00302;SP;1325;5488;4163;3804
SP00303;SP;1133;3512;2379;2163
SP00304;SP;957;3481;2524;2284
SP00305;SP;1103;2904;1801;1620
SP00306;SP;1628;5275;3647;3252
SP00307;SP;1173;3529;2356;2055
SP00308;SP;1364;4601;3237;2784
SP00309;SP;1118;3845;2727;2377
SP00310;SP;1668;5928;4260;3647
SP00311;SP;1533;4745;3212;2868
SP00312;SP;954;3428;2474;2235
SP00313;SP;1443;5494;4051;3634
SP00314;SP;838;2699;1861;1628
SP00315;SP;1585;5861;4276;3850
SP00316;SP;2278;8808;6530;5921
SP00317;SP;541;2042;1501;1271
SP00318;SP;730;2552;1822;1585
SP00319;SP;591;2366;1775;1580
SP00320;SP;1369;4504;3135;2784
SP00321;SP;1255;4314;3059;2771
SP00322;SP;2710;8258;5548;4975
SP00323;SP;1337;4008;2671;2414
SP00324;SP;1451;4770;3319;2949
SP00325;SP;1192;4286;3094;2780
SP00326;SP;1184;3933;2749;2471
SP00327;SP;497;1859;1362;1164
SP00328;SP;1044;3718;2674;2278
SP00329;SP;1139;3347;2208;1860
SP00330;SP;1189;4062;2873;2547
SP00331;SP;845;3036;2191;2021
SP00332;SP;770;3054;2284;2099
SP00333;SP;698;2049;1351;1203
SP00334;SP;430;1713;1283;1116
SP00335;SP;1126;4066;2940;2443
SP00336;SP;942;3224;2282;1932
SP00337;SP;377;1495;1118;942
SP00338;SP;1468;4592;3124;2780
SP00339;SP;1027;3299;2272;2075
SP00340;SP;1072;3747;2675;2391
SP00341;SP;881;3178;2297;2077
SP00342;SP;1461;5123;3662;3278
SP00343;SP;1483;5204;3721;3344
SP00344;SP;1731;5849;4118;3729
SP00345;SP;2470;7886;5416;4892
SP00346;SP;390;1595;1205;1113
SP00347;SP;822;3164;2342;2145
SP00348;SP;1278;4643;3365;3024
SP00349;SP;863;3642;2779;2310
SP00350;SP;317;1278;961;845
SP00351;SP;197;883;686;584
SP00352;SP;560;2374;1814;1639
SP00353;SP;705;2983;2278;2068
SP00354;SP;269;1134;865;715
SP00355;SP;422;1892;1470;1316
SP00356;SP;1681;6871;5190;4713
SP00357;SP;12;35;23;15
SP00358;SP;14;39;25;20
SP00359;SP;10;40;30;22
SP00360;SP;13;119;106;71
SP00361;SP;8;20;12;12
SP00362;SP;547;1767;1220;1081
SP00363;SP;2252;6587;4335;4017
SP00364;SP;646;1999;1353;1259
SP00365;SP;2077;5757;3680;3504
SP00366;SP;1688;5574;3886;3655
SP00367;SP;1138;3181;2043;1835
SP00368;SP;1396;4441;3045;2778
SP00369;SP;1247;4203;2956;2789
SP00370;SP;2002;7693;5691;5410
SP00371;SP;2241;7513;5272;4897
SP00372;SP;1902;5891;3989;3708
SP00373;SP;1632;5182;3550;3328
SP00374;SP;1341;4011;2670;2516
SP00375;SP;1404;4721;3317;3093
SP00376;SP;1451;4805;3354;3098
SP00377;SP;1166;4059;2893;2693
SP00378;SP;1095;3829;2734;2571
SP00379;SP;1364;4356;2992;2717
SP00380;SP;1413;4357;2944;2747
SP00381;SP;1388;4728;3340;3119
SP00382;SP;600;1970;1370;1292
SP00383;SP;1207;3490;2283;2113
SP00384;SP;798;2769;1971;1845
SP00385;SP;1130;3955;2825;2607
SP00386;SP;462;2170;1708;1625
SP00387;SP;733;3215;2482;2310
SP00388;SP;502;1990;1488;1379
SP00389;SP;721;2663;1942;1788
SP00390;SP;1179;4307;3128;2733
SP00391;SP;1102;3539;2437;2119
SP00392;SP;1290;4859;3569;3137
SP00393;SP;1149;3958;2809;2404
SP00394;SP;798;2651;1853;1621
SP00395;SP;2283;7319;5036;4255
SP00396;SP;966;2981;2015;1734
SP00397;SP;1178;4072;2894;2418
SP00398;SP;991;2787;1796;1541
SP00399;SP;1231;4200;2969;2600
SP00400;SP;650;2153;1503;1323
SP00401;SP;1789;6075;4286;3723
SP00402;SP;1138;4338;3200;2741
SP00403;SP;1906;6930;5024;4268
SP00404;SP;1488;5256;3768;3185
SP00405;SP;1165;4680;3515;3097
SP00406;SP;1108;3867;2759;2325
SP00407;SP;1156;4191;3035;2536
SP00408;SP;2088;7217;5129;4414
SP00409;SP;1391;5537;4146;3428
SP00410;SP;392;1624;1232;1026
SP00411;SP;411;1750;1339;1163
SP00412;SP;532;2247;1715;1480
SP00413;SP;1092;5079;3987;3298
SP00414;SP;512;2489;1977;1655
SP00415;SP;895;3888;2993;2599
SP00416;SP;393;1565;1172;969
SP00417;SP;334;1590;1256;1074
SP00418;SP;372;1339;967;784
SP00419;SP;1477;4961;3484;3096
SP00420;SP;416;1442;1026;925
SP00421;SP;867;3048;2181;1947
SP00422;SP;2725;10320;7595;6744
SP00423;SP;1355;4513;3158;2820
SP00424;SP;1374;4823;3449;3041
SP00425;SP;1674;6519;4845;4356
SP00426;SP;1966;6948;4982;4433
SP00427;SP;1191;4605;3414;3042
SP00428;SP;1699;5397;3698;3296
SP00429;SP;1519;5111;3592;3236
SP00430;SP;2158;8129;5971;5396
SP00431;SP;1295;4417;3122;2760
SP00432;SP;1210;3964;2754;2401
SP00433;SP;1142;4353;3211;2911
SP00434;SP;1576;5194;3618;3183
SP00435;SP;1757;7037;5280;4647
SP00436;SP;878;2845;1967;1697
SP00437;SP;1343;4783;3440;3049
SP00438;SP;930;3263;2333;2012
SP00439;SP;995;3746;2751;2414
SP00440;SP;1207;4147;2940;2548
SP00441;SP;1406;4817;3411;2965
SP00442;SP;720;3055;2335;2045
SP00443;SP;1422;5342;3920;3502
SP00444;SP;1007;4038;3031;2708
SP00445;SP;461;2263;1802;1578
SP00446;SP;1547;7010;5463;4823
SP00447;SP;939;4015;3076;2611
SP00448;SP;514;2058;1544;1354
SP00449;SP;1495;6333;4838;4289
SP00450;SP;1055;4825;3770;3407
SP00451;SP;422;1835;1413;1250
SP00452;SP;806;3018;2212;1929
SP00453;SP;348;1256;908;767
SP00454;SP;1915;6000;4085;3524
SP00455;SP;1209;4145;2936;2668
SP00456;SP;1225;4320;3095;2792
SP00457;SP;876;2816;1940;1732
SP00458;SP;2559;8529;5970;5339
SP00459;SP;1204;4392;3188;2896
SP00460;SP;1795;6386;4591;4104
SP00461;SP;1143;4042;2899;2649
SP00462;SP;1518;5168;3650;3226
SP00463;SP;366;1010;644;583
SP00464;SP;1104;4296;3192;2765
SP00465;SP;2123;7597;5474;4737
SP00466;SP;1649;6038;4389;3812
SP00467;SP;1476;5303;3827;3421
SP00468;SP;1476;5330;3854;3503
SP00469;SP;1594;5448;3854;3445
SP00470;SP;1427;4692;3265;2911
SP00471;SP;1018;3265;2247;1966
SP00472;SP;701;2507;1806;1593
SP00473;SP;1481;5477;3996;3538
SP00474;SP;1532;5075;3543;3133
SP00475;SP;1730;5821;4091;3609
SP00476;SP;1664;5975;4311;3817
SP00477;SP;860;2863;2003;1768
SP00478;SP;1001;3496;2495;2209
SP00479;SP;691;2742;2051;1807
SP00480;SP;523;1874;1351;1236
SP00481;SP;384;1516;1132;999
SP00482;SP;1768;6633;4865;4345
SP00483;SP;656;2523;1867;1612
SP00484;SP;828;3212;2384;2097
SP00485;SP;395;1466;1071;957
SP00486;SP;1108;4286;3178;2833
SP00487;SP;521;2063;1542;1295
SP00488;SP;418;1859;1441;1270
SP00489;SP;299;1525;1226;1101
SP00490;SP;653;1981;1328;1121
SP00491;SP;221;985;764;701
SP00492;SP;176;847;671;585
SP00493;SP;310;1172;862;755
SP00494;SP;22;54;32;26
SP00495;SP;14;54;40;23
SP00496;SP;1207;4579;3372;3009
SP00497;SP;1990;6925;4935;4441
SP00498;SP;947;3111;2164;1894
SP00499;SP;1930;6834;4904;4285
SP00500;SP;1850;6586;4736;4014
SP00501;SP;1436;4776;3340;2871
SP00502;SP;1898;6808;4910;4207
SP00503;SP;1985;6619;4634;4034
SP00504;SP;963;4008;3045;2673
SP00505;SP;653;2185;1532;1335
SP00506;SP;1254;4319;3065;2647
SP00507;SP;2618;9953;7335;6265
SP00508;SP;1490;5317;3827;3334
SP00509;SP;1394;4399;3005;2554
SP00510;SP;1880;6209;4329;3594
SP00511;SP;2064;6942;4878;4132
SP00512;SP;2226;7389;5163;4319
SP00513;SP;1113;4106;2993;2609
SP00514;SP;1524;5514;3990;3430
SP00515;SP;1248;4792;3544;3046
SP00516;SP;2061;6938;4877;4090
SP00517;SP;1044;3694;2650;2223
SP00518;SP;1477;4780;3303;2826
SP00519;SP;1725;5846;4121;3509
SP00520;SP;880;3065;2185;1832
SP00521;SP;1512;5002;3490;2901
SP00522;SP;1176;4695;3519;2921
SP00523;SP;1061;4290;3229;2690
SP00524;SP;715;2811;2096;1775
SP00525;SP;1400;5945;4545;3796
SP00526;SP;817;3210;2393;2007
SP00527;SP;630;3105;2475;2136
SP00528;SP;589;2366;1777;1569
SP00529;SP;786;3155;2369;2087
SP00530;SP;357;1521;1164;979
SP00531;SP;1705;6972;5267;4395
SP00532;SP;735;2674;1939;1655
SP00533;SP;557;2644;2087;1800
SP00534;SP;942;4351;3409;3003
SP00535;SP;1569;4936;3367;2995
SP00536;SP;1749;6329;4580;3965
SP00537;SP;1313;4344;3031;2660
SP00538;SP;1666;5278;3612;3064
SP00539;SP;1836;5948;4112;3697
SP00540;SP;1083;3175;2092;1863
SP00541;SP;1083;3175;2092;1863
SP00542;SP;1451;4842;3391;2867
SP00543;SP;2618;8077;5459;4653
SP00544;SP;1829;5536;3707;3265
SP00545;SP;2233;7097;4864;4172
SP00546;SP;1495;4580;3085;2705
SP00547;SP;916;3238;2322;2051
SP00548;SP;1450;4404;2954;2590
SP00549;SP;1918;5928;4010;3526
SP00550;SP;1329;4742;3413;2933
SP00551;SP;1327;4597;3270;2815
SP00552;SP;1909;5887;3978;3352
SP00553;SP;1552;4676;3124;2659
SP00554;SP;1397;5499;4102;3446
SP00555;SP;978;3492;2514;2184
SP00556;SP;469;1967;1498;1290
SP00557;SP;1586;5966;4380;3694
SP00558;SP;1433;5547;4114;3404
SP00559;SP;1748;6869;5121;4262
SP00560;SP;1312;4755;3443;2876
SP00561;SP;1212;4720;3508;2955
SP00562;SP;817;3269;2452;2120
SP00563;SP;1024;3945;2921;2409
SP00564;SP;1630;6019;4389;3561
SP00565;SP;792;3148;2356;2001
SP00566;SP;972;3965;2993;2499
SP00567;SP;1099;3964;2865;2570
SP00568;SP;1167;4355;3188;2856
SP00569;SP;640;2316;1676;1426
SP00570;SP;371;1547;1176;988
SP00571;SP;496;1966;1470;1235
SP00572;SP;1425;5117;3692;3011
SP00573;SP;300;1187;887;742
SP00574;SP;1552;4916;3364;2734
SP00575;SP;606;1945;1339;1078
SP00576;SP;0;45;45;42
SP00577;SP;2573;8415;5842;5257
SP00578;SP;711;2949;2238;2000
SP00579;SP;1251;4397;3146;2698
SP00580;SP;880;3133;2253;2017
SP00581;SP;1534;5307;3773;3338
SP00582;SP;1178;4259;3081;2707
SP00583;SP;1316;4985;3669;3192
SP00584;SP;760;2542;1782;1552
SP00585;SP;1428;4746;3318;2911
SP00586;SP;639;2592;1953;1703
SP00587;SP;1111;3697;2586;2332
SP00588;SP;1646;5167;3521;3105
SP00589;SP;1403;4702;3299;2808
SP00590;SP;2299;7580;5281;4546
SP00591;SP;1863;6263;4400;3772
SP00592;SP;1502;5506;4004;3466
SP00593;SP;1462;5605;4143;3635
SP00594;SP;974;3522;2548;2172
SP00595;SP;971;3557;2586;2244
SP00596;SP;938;3534;2596;2206
SP00597;SP;1503;5301;3798;3190
SP00598;SP;1411;4844;3433;2954
SP00599;SP;1909;6251;4342;3651
SP00600;SP;1116;4185;3069;2605
SP00601;SP;1747;6122;4375;3842
SP00602;SP;1002;3850;2848;2482
SP00603;SP;1499;4959;3460;2923
SP00604;SP;943;3537;2594;2222
SP00605;SP;941;4399;3458;2999
SP00606;SP;520;2414;1894;1650
SP00607;SP;605;2771;2166;1868
SP00608;SP;823;3524;2701;2326
SP00609;SP;468;2139;1671;1413
SP00610;SP;1119;4996;3877;3393
SP00611;SP;403;1902;1499;1287
SP00612;SP;624;2164;1540;1327
SP00613;SP;270;1184;914;787
SP00614;SP;1575;6485;4910;4153
SP00615;SP;219;1062;843;710
SP00616;SP;883;3937;3054;2687
SP00617;SP;393;1349;956;839
SP00618;SP;1727;5671;3944;3400
SP00619;SP;465;1692;1227;1055
SP00620;SP;33;98;65;44
SP00621;SP;2410;7468;5058;4641
SP00622;SP;2632;8525;5893;5358
SP00623;SP;1794;5777;3983;3670
SP00624;SP;2013;6339;4326;3981
SP00625;SP;3154;10784;7630;7038
SP00626;SP;1952;6265;4313;3939
SP00627;SP;2327;7090;4763;4286
SP00628;SP;2215;7913;5698;5302
SP00629;SP;1253;3705;2452;2194
SP00630;SP;1740;5514;3774;3466
SP00631;SP;951;2522;1571;1400
SP00632;SP;2717;9851;7134;6537
SP00633;SP;1159;3955;2796;2560
SP00634;SP;2134;6679;4545;4143
SP00635;SP;1863;5917;4054;3591
SP00636;SP;2262;7155;4893;4473
SP00637;SP;2102;5885;3783;3470
SP00638;SP;2164;6804;4640;4208
SP00639;SP;2755;9027;6272;5745
SP00640;SP;1973;6187;4214;3845
SP00641;SP;2280;6983;4703;4242
SP00642;SP;1296;5042;3746;3356
SP00643;SP;895;3354;2459;2145
SP00644;SP;1585;5516;3931;3555
SP00645;SP;1162;3823;2661;2407
SP00646;SP;950;3531;2581;2320
SP00647;SP;2320;7403;5083;4634
SP00648;SP;964;3841;2877;2605
SP00649;SP;666;2648;1982;1760
SP00650;SP;1154;4689;3535;3191
SP00651;SP;1581;4603;3022;2669
SP00652;SP;1355;4711;3356;2915
SP00653;SP;2887;9758;6871;6317
SP00654;SP;1670;5621;3951;3632
SP00655;SP;1226;4274;3048;2819
SP00656;SP;2117;7540;5423;4936
SP00657;SP;1929;6658;4729;4302
SP00658;SP;1344;4399;3055;2774
SP00659;SP;1223;4066;2843;2587
SP00660;SP;535;1900;1365;1239
SP00661;SP;1203;3498;2295;2021
SP00662;SP;1275;4467;3192;2948
SP00663;SP;1509;4883;3374;3029
SP00664;SP;1238;4189;2951;2669
SP00665;SP;1454;4690;3236;2925
SP00666;SP;1560;4794;3234;2902
SP00667;SP;1994;7365;5371;4835
SP00668;SP;1578;5384;3806;3465
SP00669;SP;1217;4307;3090;2819
SP00670;SP;1547;5766;4219;3799
SP00671;SP;2383;7344;4961;4380
SP00672;SP;1545;5404;3859;3453
SP00673;SP;1015;3585;2570;2364
SP00674;SP;814;3396;2582;2220
SP00675;SP;465;2186;1721;1556
SP00676;SP;914;3751;2837;2529
SP00677;SP;418;1922;1504;1376
SP00678;SP;962;3777;2815;2493
SP00679;SP;1287;4304;3017;2683
SP00680;SP;2792;11486;8694;7821
SP00681;SP;1234;5137;3903;3542
SP00682;SP;547;2306;1759;1584
SP00683;SP;1179;5169;3990;3629
SP00684;SP;394;1542;1148;1039
SP00685;SP;56;329;273;250
SP00686;SP;3129;9715;6586;5733
SP00687;SP;1613;5282;3669;3211
SP00688;SP;1209;4013;2804;2484
SP00689;SP;1864;6259;4395;3885
SP00690;SP;1691;5510;3819;3318
SP00691;SP;674;2030;1356;1186
SP00692;SP;2303;8151;5848;5192
SP00693;SP;1383;4634;3251;2869
SP00694;SP;2246;8474;6228;5583
SP00695;SP;1804;5738;3934;3443
SP00696;SP;315;1384;1069;972
SP00697;SP;1157;4338;3181;2881
SP00698;SP;1247;4269;3022;2595
SP00699;SP;865;2845;1980;1691
SP00700;SP;742;2038;1296;1148
SP00701;SP;1071;4091;3020;2626
SP00702;SP;1018;3281;2263;2012
SP00703;SP;1073;3713;2640;2200
SP00704;SP;1567;5896;4329;3685
SP00705;SP;775;2464;1689;1474
SP00706;SP;1502;5478;3976;3402
SP00707;SP;2008;6988;4980;4238
SP00708;SP;1758;5710;3952;3354
SP00709;SP;1707;5869;4162;3614
SP00710;SP;1106;3923;2817;2427
SP00711;SP;1283;4783;3500;3017
SP00712;SP;1942;7054;5112;4323
SP00713;SP;1367;5464;4097;3538
SP00714;SP;833;3081;2248;1931
