CD_LOC;NM_LOCAL_VOTACAO;DS_ENDERECO;NM_BAIRRO;NR_CEP
SP00118;FACULDADES DAS AMÉRICAS (FAM);RUA AUGUSTA, 1508;CONSOLACAO;1304001
SP00119;COLÉGIO IAVNE;RUA PADRE JOÃO MANUEL, 727;CERQUEIRA CESAR;1411001
SP00120;EE. PROF. CECILIANO JOSÉ ENNES;RUA COJUBA, 157;ITAIM BIBI;4533040
SP00121;EMEF.  PROFª MARIA ANTONIETA D'ALKIMIN BASTO;RUA CASA DO ATOR, 207;VILA OLÍMPIA;4546001
SP00122;COLÉGIO DOMUS SAPIENTIAE;RUA DR. EDUARDO DE SOUZA ARANHA, 357;VILA NOVA CONCEICAO;4543121
SP00123;COLÉGIO MATER DEI;RUA MAL. BITENCOURT, 62;JARDIM PAULISTA;1432020
SP00124;EE. MARECHAL FLORIANO;RUA DONA JÚLIA, 37;VILA MARIANA;4117020
SP00125;COLÉGIO MADRE CABRINI;RUA MADRE CABRINI, 36;VILA MARIANA;4020000
SP00126;COLÉGIO BANDEIRANTES;RUA ESTELA, 268;VILA MARIANA;4011001
SP00127;COLÉGIO CRISTO REI;AV. CONSELHEIRO RODRIGUES ALVES, 658;VILA MARIANA;4014001
SP00128;UNIP. UNIVERSIDADE PAULISTA  PARAÍSO;RUA VERGUEIRO, 1211;PARAÍSO;1504001
SP00129;COLÉGIO E ESCOLA BENJAMIN CONSTANT;RUA EÇA DE QUEIROZ, 75;VILA MARIANA;4011030
SP00130;COLÉGIO MARIA IMACULADA;AV. BERNARDINO DE CAMPOS, 79;PARAÍSO;4004050
SP00131;ESCOLA SANTI;RUA ABÍLIO SOARES, 425;PARAÍSO;4005001
SP00132;EE. MAESTRO FABIANO LOZANO;RUA HUMBERTO I, 633;VILA MARIANA;4018031
SP00133;EE. MAJOR ARCY;RUA DOUTOR JOSÉ DE QUEIROZ ARANHA, 451;VILA MARIANA;4106062
SP00134;COLÉGIO HENRI WALLON;RUA GUIMARÃES PASSOS, 509;VILA MARIANA;4107031
SP00135;EE. CAETANO DE CAMPOS;RUA PIRES DA MOTA, 99;ACLIMAÇÃO;1529001
SP00136;UNIP. UNIVERSIDADE PAULISTA  VERGUEIRO;RUA APENINOS, 267;ACLIMAÇÃO;1533000
SP00137;EM. PARA DEFICIENTES AUDITIVOS HELEN KELLER;RUA PEDRA AZUL, 314;JARDIM NOSSA SENHORA APARECIDA;4109000
SP00138;EM. BRIGADEIRO FARIA LIMA;RUA AMETISTA, 50;JARDIM NOSSA SENHORA APARECIDA;4109010
SP00139;COLÉGIO NOSSA SENHORA DA GLÓRIA;RUA JUSTO AZAMBUJA, 267;CAMBUCI;1518000
SP00140;EE. PROF. GOMES CARDIM;AV. LACERDA FRANCO, 1641;CAMBUCI;1536001
SP00141;EE. DR. MURTINHO NOBRE;RUA OUVIDOR PORTUGAL, 789;VILA MONUMENTO;1551000
